action,status,project,model file name,table name,verbose name,verbose name plural,ordering,definition,unicode,model form,backup,retention d,remark
,,test_ledger,GL map,map_bu,Business Unit,Business Units,bu,Business Unit,self.bu,,,,
,,test_ledger,GL map,map_ledger,Ledger Book,Ledger Books,ledger,Ledger Book,self.ledger,,,,
,,test_ledger,GL map,map_acct_rollup,GL account list,GL account list,acct,ledger account listing,self.acct,Y,,,
,,ledger,account,account_info,account detail,account details,"company,identifier",account detail,self.company + ': ' + self.identifier,Y,Y,3,
,,ledger,cashflow,cashflow,cashflow,,"year,month",monthly P&L,str(self.year) + ' ' + str(month) + ' P&L',,Y,3,
,,ledger,GL,journal,journal,,,journal entries,"'%s %s' % (self.date, self.reference)",,Y,3,
modify,,ledger,sats,sats_source,stock article tracking source,,,article tracking strategy for stock analysis,self.src,Y,Y,3,
modify,,ledger,sats,sats_article,stock article tracking article,,,article tracking strategy for stock analysis,"'%s - %s: %s' % (self.product, self.src, self.strategy)",Y,Y,3,
